codigo;ferramenta;data
172643;CHAVE DE LIXEIRA 04 BL-01;2024-01-29
172644;CHAVE DE LIXEIRA 04 BL-01;2024-01-29
140001;BALDE DE MEDIDAS;2024-01-29
170277;REGUA DE NIVEL;2024-01-29
172364;ENTRADA DO BLOC 01;2024-01-29
172375;ENTRADA DO BLOC 01;2024-01-29
172225;ENTRADA DO BLOC 12;2024-01-29
172226;ENTRADA DO BLOC 12;2024-01-29
172218;LIXEIRA 01 BLOC 05;2024-01-29
172217;LIXEIRA 01 BLOC 05;2024-01-29
172219;LIXEIRA 02 BLOC 05;2024-01-29
172220;LIXEIRA 02 BLOC 05;2024-01-29
172224;LIXEIRA 03 BLOC 05;2024-01-29
172223;LIXEIRA 03 BLOC 05;2024-01-29
172221;LIXEIRA 03 BLOC 05;2024-01-29
172222;LIXEIRA 03 BLOC 05;2024-01-29
120001;CHAVE ENTRADA BL. 04;2024-01-29
172368;ENTRADA APT 101 BL-01;2024-01-29
172369;ENTRADA APT 101 BL-01;2024-01-29
172238;ENTRADA APT 102 BL-01;2024-01-29
172239;ENTRADA APT 102 BL-01;2024-01-29
172240;ENTRADA APT 103 BL-01;2024-01-29
172241;ENTRADA APT 103 BL-01;2024-01-29
172366;ENTRADA APT 104 BL-01;2024-01-29
172365;ENTRADA APT 104 BL-01;2024-01-29
172227;CHAVE DE ENTRADA BL-05;2024-01-29
172710;LIXADEIRA PEQUENA;2024-01-29
172708;PA ;2024-01-29
172707;PA;2024-01-29
172701;PA;2024-01-29
172709;PA;2024-01-29
172711;PA;2024-01-29
172706;PA;2024-01-29
172586;CHAVE CATRACA-22;2024-01-29
172587;CHAVE CATRACA-13;2024-01-29
172704;CHAVE CATRACA-13;2024-01-29
172585;CHAVE CATRACA-13;2024-01-29
172588;CHAVE CATRACA-17;2024-01-29
172702;CHAVE CATRACA-10;2024-01-29
172589;CHAVE COMBINADA-27;2024-01-29
172591;CHAVE COMBINADA-18/19;2024-01-29
172580;PARAFUSADEIRA;2024-01-29
172703;LIXADEIRA GRANDE;2024-01-29
170333;NIVEL A LEISER;2024-01-29
172305;CHAVE DE ENTRADA BLO- 13;2024-01-29
